"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Car, truck, or van -- drove alone!!Estimate","Imperial County, California!!Car, truck, or van -- drove alone!!Margin of Error","Imperial County, California!!Car, truck, or van -- carpooled!!Estimate","Imperial County, California!!Car, truck, or van -- carpooled!!Margin of Error","Imperial County, California!!Public transportation (excluding taxicab)!!Estimate","Imperial County, California!!Public transportation (excluding taxicab)!!Margin of Error","Imperial County, California!!Worked from home!!Estimate","Imperial County, California!!Worked from home!!Margin of Error"
"        Below 100 percent of the poverty level","6.1%","±1.6","6.2%","±2.0","5.3%","±4.3","-","**","7.3%","±7.1"
"        100 to 149 percent of the poverty level","9.1%","±2.9","9.4%","±3.3","12.0%","±8.6","-","**","5.3%","±5.5"
"        At or above 150 percent of the poverty level","84.7%","±2.9","84.4%","±3.4","82.7%","±9.6","-","**","87.4%","±8.9"
"Workers 16 years and over","63,833","±3,267","49,397","±3,080","6,213","±1,812","0","±221","5,534","±1,780"
"    OCCUPATION","","","","","","","","","",""
"        Management, business, science, and arts occupations","N","N","N","N","N","N","N","N","N","N"
"        Service occupations","N","N","N","N","N","N","N","N","N","N"
"        Sales and office occupations","N","N","N","N","N","N","N","N","N","N"
"        Natural resources, construction, and maintenance occupations","N","N","N","N","N","N","N","N","N","N"
"        Production, transportation, and material moving occupations","N","N","N","N","N","N","N","N","N","N"
"        Military specific occupations","N","N","N","N","N","N","N","N","N","N"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","N","N","N","N","N","N","N","N","N","N"
"        Construction","N","N","N","N","N","N","N","N","N","N"
"        Manufacturing","N","N","N","N","N","N","N","N","N","N"
"        Wholesale trade","N","N","N","N","N","N","N","N","N","N"
"        Retail trade","N","N","N","N","N","N","N","N","N","N"
"        Transportation and warehousing, and utilities","N","N","N","N","N","N","N","N","N","N"
"        Information and finance and insurance, and real estate and rental and leasing","N","N","N","N","N","N","N","N","N","N"
"        Professional, scientific, management, and administrative and waste management services","N","N","N","N","N","N","N","N","N","N"
"        Educational services, and health care and social assistance","N","N","N","N","N","N","N","N","N","N"
"        Arts, entertainment, and recreation, and accommodation and food services","N","N","N","N","N","N","N","N","N","N"
"        Other services (except public administration)","N","N","N","N","N","N","N","N","N","N"
"        Public administration","N","N","N","N","N","N","N","N","N","N"
"        Armed forces","N","N","N","N","N","N","N","N","N","N"
"    CLASS OF WORKER","","","","","","","","","",""
"        Private wage and salary workers","N","N","N","N","N","N","N","N","N","N"
"        Government workers","N","N","N","N","N","N","N","N","N","N"
"        Self-employed workers in own not incorporated business","N","N","N","N","N","N","N","N","N","N"
"        Unpaid family workers","N","N","N","N","N","N","N","N","N","N"
"    PLACE OF WORK","","","","","","","","","",""
"        Worked in state of residence","96.1%","±2.3","97.8%","±1.4","91.2%","±9.4","-","**","100.0%","±3.6"
"            Worked in county of residence","87.1%","±2.9","88.3%","±3.4","78.6%","±10.2","-","**","100.0%","±3.6"
"            Worked outside county of residence","8.9%","±2.4","9.6%","±3.0","12.6%","±6.6","-","**","(X)","(X)"
"        Worked outside state of residence","3.9%","±2.3","2.2%","±1.4","8.8%","±9.4","-","**","(X)","(X)"
"Workers 16 years and over who did not work from home","58,299","±3,376","49,397","±3,080","6,213","±1,812","0","±221","(X)","(X)"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","12.1%","±3.1","12.9%","±3.4","5.2%","±4.7","-","**","(X)","(X)"
"        5:00 a.m. to 5:29 a.m.","7.6%","±1.7","7.9%","±1.8","7.4%","±6.4","-","**","(X)","(X)"
"        5:30 a.m. to 5:59 a.m.","6.1%","±2.3","6.6%","±2.4","5.4%","±4.3","-","**","(X)","(X)"
"        6:00 a.m. to 6:29 a.m.","7.5%","±2.3","8.4%","±2.6","3.0%","±3.1","-","**","(X)","(X)"
"        6:30 a.m. to 6:59 a.m.","5.2%","±1.4","4.7%","±1.5","10.6%","±6.4","-","**","(X)","(X)"
"        7:00 a.m. to 7:29 a.m.","15.0%","±3.2","12.5%","±2.6","26.0%","±13.6","-","**","(X)","(X)"
"        7:30 a.m. to 7:59 a.m.","9.4%","±2.3","8.5%","±2.6","9.4%","±6.0","-","**","(X)","(X)"
"        8:00 a.m. to 8:29 a.m.","9.8%","±2.3","10.7%","±2.8","2.8%","±3.4","-","**","(X)","(X)"
"        8:30 a.m. to 8:59 a.m.","2.5%","±1.2","2.8%","±1.4","1.5%","±0.5","-","**","(X)","(X)"
"        9:00 a.m. to 11:59 p.m.","24.7%","±4.2","25.0%","±3.9","28.6%","±15.6","-","**","(X)","(X)"
"    TRAVEL TIME TO WORK","","","","","","","","","",""
"        Less than 10 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        10 to 14 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        15 to 19 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        20 to 24 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        25 to 29 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        30 to 34 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        35 to 44 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        45 to 59 minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        60 or more minutes","N","N","N","N","N","N","N","N","(X)","(X)"
"        Mean travel time to work (minutes)","N","N","N","N","N","N","N","N","(X)","(X)"
"Workers 16 years and over in households","63,673","±3,266","49,379","±3,079","6,083","±1,812","0","±221","5,534","±1,780"
"    HOUSING TENURE","","","","","","","","","",""
"        Owner-occupied housing units","62.7%","±5.1","64.0%","±5.6","52.4%","±17.4","-","**","69.4%","±13.5"
"        Renter-occupied housing units","37.3%","±5.1","36.0%","±5.6","47.6%","±17.4","-","**","30.6%","±13.5"
"    VEHICLES AVAILABLE","","","","","","","","","",""
"        No vehicle available","2.6%","±1.8","1.0%","±1.1","14.8%","±14.7","-","**","2.5%","±3.4"
"        1 vehicle available","14.8%","±3.3","13.5%","±3.5","21.7%","±14.0","-","**","18.2%","±9.5"
"        2 vehicles available","35.1%","±5.0","36.2%","±5.8","23.3%","±11.5","-","**","43.4%","±16.0"
"        3 or more vehicles available","47.5%","±5.3","49.3%","±5.4","40.2%","±15.6","-","**","35.8%","±15.1"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Means of transportation to work","16.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","25.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","21.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","0.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
