Area,Category,Data Source,Data Year,Equity Report Year,Geography Type,Indicator,Notes,Percent,Percentile,Unit for Value,Value,multipolygon
014804,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.037399 32.791476, -117.032967 32.791443, -117.029838 32.791426, -117.024503 32.791386, -117.020112 32.791453, -117.021608 32.789691, -117.025237 32.786521, -117.025292 32.786435, -117.025387 32.78626, -117.025468 32.786081, -117.025722 32.785369, -117.025802 32.785188, -117.025919 32.784973, -117.025959 32.784911, -117.02996 32.782234, -117.033 32.780915, -117.038197 32.779609, -117.038977 32.779536, -117.03995 32.779444, -117.039985 32.780695, -117.040003 32.781377, -117.039656 32.781382, -117.038947 32.781377, -117.038931 32.781584, -117.038927 32.781742, -117.039279 32.781758, -117.034912 32.786593, -117.033553 32.788042, -117.031923 32.788787, -117.031001 32.790546, -117.035786 32.788728, -117.037845 32.789255, -117.037399 32.791476)))"
014700,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.053353 32.763268, -117.05116 32.763249, -117.051133 32.766014, -117.050051 32.766012, -117.046784 32.766004, -117.04433 32.767671, -117.042619 32.767707, -117.041347 32.767726, -117.040398 32.767743, -117.040424 32.768826, -117.038953 32.768849, -117.035062 32.768035, -117.032837 32.768473, -117.032482 32.768493, -117.031067 32.768391, -117.029484 32.765598, -117.029487 32.762637, -117.030377 32.762118, -117.031985 32.761179, -117.033273 32.760343, -117.038682 32.756749, -117.039728 32.756065, -117.040116 32.755883, -117.040538 32.755746, -117.040869 32.755667, -117.04302 32.755152, -117.046621 32.754849, -117.04752 32.755255, -117.047796 32.755295, -117.049132 32.755187, -117.049207 32.755181, -117.04951 32.755167, -117.049903 32.755146, -117.04997 32.755412, -117.050015 32.755588, -117.050094 32.755558, -117.050443 32.755574, -117.053481 32.755827, -117.053762 32.755851, -117.053424 32.759672, -117.053353 32.763268)))"
014602,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.018436 32.761761, -117.016605 32.758556, -117.016502 32.757823, -117.015794 32.756227, -117.012164 32.753809, -117.012005 32.753678, -117.01195 32.753639, -117.011742 32.753471, -117.012164 32.753106, -117.012542 32.75278, -117.015208 32.750512, -117.015257 32.750472, -117.017926 32.748289, -117.021404 32.746958, -117.027024 32.747178, -117.029541 32.746814, -117.034457 32.745436, -117.037545 32.746323, -117.038394 32.74988, -117.038461 32.750177, -117.038458 32.750523, -117.034053 32.753791, -117.028307 32.75645, -117.026584 32.756604, -117.026375 32.757207, -117.027532 32.758631, -117.028792 32.76019, -117.025638 32.762959, -117.025577 32.76305, -117.025546 32.763087, -117.025462 32.763199, -117.022589 32.762477, -117.019572 32.763728, -117.018624 32.762098, -117.018436 32.761761)))"
014601,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.025462 32.763199, -117.025546 32.763087, -117.025577 32.76305, -117.025638 32.762959, -117.028792 32.76019, -117.027532 32.758631, -117.026375 32.757207, -117.026584 32.756604, -117.028307 32.75645, -117.034053 32.753791, -117.038458 32.750523, -117.038472 32.750836, -117.038526 32.751037, -117.040103 32.752969, -117.040116 32.755883, -117.039728 32.756065, -117.038682 32.756749, -117.033273 32.760343, -117.031985 32.761179, -117.030377 32.762118, -117.029487 32.762637, -117.029484 32.765598, -117.031067 32.768391, -117.030037 32.768397, -117.024937 32.769749, -117.023308 32.770164, -117.019572 32.763728, -117.022589 32.762477, -117.025462 32.763199)))"
014500,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.04752 32.755255, -117.046621 32.754849, -117.04302 32.755152, -117.040869 32.755667, -117.040538 32.755746, -117.040116 32.755883, -117.040103 32.752969, -117.038526 32.751037, -117.038472 32.750836, -117.038458 32.750523, -117.038461 32.750177, -117.038394 32.74988, -117.037545 32.746323, -117.034457 32.745436, -117.037341 32.744923, -117.042837 32.744918, -117.04703 32.744679, -117.049283 32.74315, -117.050837 32.742041, -117.051077 32.742268, -117.051242 32.742421, -117.051277 32.742462, -117.049593 32.743406, -117.049281 32.743582, -117.049269 32.744172, -117.049198 32.750253, -117.049138 32.754755, -117.049132 32.755187, -117.047796 32.755295, -117.04752 32.755255)))"
014400,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,15,"MULTIPOLYGON (((-117.011125 32.752965, -117.012652 32.751207, -117.013028 32.750925, -117.014452 32.749696, -117.019496 32.745476, -117.02304 32.743439, -117.023104 32.741847, -117.029366 32.741939, -117.02945 32.739014, -117.030981 32.739, -117.034294 32.739896, -117.034278 32.741699, -117.036388 32.741656, -117.042856 32.74157, -117.042886 32.738844, -117.04937 32.738772, -117.054187 32.736679, -117.049735 32.740938, -117.050837 32.742041, -117.049283 32.74315, -117.04703 32.744679, -117.042837 32.744918, -117.037341 32.744923, -117.034457 32.745436, -117.029541 32.746814, -117.027024 32.747178, -117.021404 32.746958, -117.017926 32.748289, -117.015257 32.750472, -117.015208 32.750512, -117.012542 32.75278, -117.012164 32.753106, -117.011742 32.753471, -117.011125 32.752965)))"
013206,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.062382 32.59117, -117.062413 32.591088, -117.062422 32.591068, -117.06248 32.590496, -117.064002 32.590379, -117.065747 32.590651, -117.071188 32.590736, -117.073087 32.591099, -117.073212 32.591123, -117.073292 32.591272, -117.075788 32.596069, -117.076737 32.59849, -117.078644 32.603361, -117.079998 32.606823, -117.07182 32.609096, -117.070492 32.605661, -117.069214 32.602338, -117.069077 32.601888, -117.06906 32.598438, -117.069037 32.59477, -117.066689 32.594766, -117.064514 32.594786, -117.062485 32.591178, -117.062464 32.591175, -117.062382 32.59117)))"
013205,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.073292 32.591272, -117.078075 32.591381, -117.078224 32.591338, -117.078464 32.591255, -117.078711 32.591228, -117.078919 32.591233, -117.079114 32.591261, -117.079263 32.591255, -117.079412 32.591211, -117.079537 32.591126, -117.079594 32.59109, -117.079718 32.590986, -117.088059 32.589501, -117.088249 32.590694, -117.08889 32.594936, -117.089956 32.604364, -117.085383 32.60389, -117.079588 32.603355, -117.078644 32.603361, -117.076737 32.59849, -117.075788 32.596069, -117.073292 32.591272)))"
013204,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.064514 32.594786, -117.066689 32.594766, -117.069037 32.59477, -117.06906 32.598438, -117.069077 32.601888, -117.069214 32.602338, -117.066696 32.602097, -117.064521 32.601811, -117.06114 32.601495, -117.060122 32.601538, -117.059378 32.601522, -117.058085 32.601392, -117.058114 32.59473, -117.064514 32.594786)))"
013203,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.060122 32.601538, -117.06114 32.601495, -117.064521 32.601811, -117.066696 32.602097, -117.069214 32.602338, -117.070492 32.605661, -117.07182 32.609096, -117.067755 32.610242, -117.063684 32.611379, -117.059596 32.612519, -117.058207 32.609068, -117.056909 32.605621, -117.060983 32.604479, -117.060105 32.602221, -117.060122 32.601538)))"
013103,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.089956 32.604364, -117.09261 32.6046, -117.097823 32.605067, -117.098544 32.610207, -117.09842 32.612957, -117.092562 32.614954, -117.091967 32.614971, -117.089887 32.61552, -117.084073 32.61716, -117.082719 32.613714, -117.081381 32.610252, -117.079998 32.606823, -117.078644 32.603361, -117.079588 32.603355, -117.085383 32.60389, -117.089956 32.604364)))"
013102,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.073177 32.612547, -117.075881 32.619439, -117.071797 32.62059, -117.067904 32.622161, -117.059552 32.624022, -117.059046 32.622711, -117.056877 32.617097, -117.055534 32.613673, -117.059596 32.612519, -117.063684 32.611379, -117.067755 32.610242, -117.07182 32.609096, -117.073177 32.612547)))"
012900,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.060622 32.628027, -117.059552 32.624022, -117.067904 32.622161, -117.071797 32.62059, -117.073148 32.624047, -117.074508 32.627496, -117.075869 32.63095, -117.071767 32.632079, -117.071258 32.630785, -117.067173 32.631887, -117.067695 32.63323, -117.063613 32.634354, -117.062262 32.630914, -117.060622 32.628027)))"
012800,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.065459 32.639083, -117.065089 32.638109, -117.06498 32.637819, -117.063613 32.634354, -117.067695 32.63323, -117.067173 32.631887, -117.071258 32.630785, -117.071767 32.632079, -117.075869 32.63095, -117.07721 32.634371, -117.078561 32.637841, -117.076478 32.638419, -117.074463 32.638974, -117.066291 32.641227, -117.065749 32.639831, -117.065649 32.639573, -117.065459 32.639083)))"
012600,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.09842 32.612957, -117.100981 32.612256, -117.101562 32.61207, -117.117681 32.607534, -117.121418 32.630235, -117.106701 32.633771, -117.098623 32.636043, -117.097948 32.636228, -117.096575 32.632781, -117.095251 32.629345, -117.089456 32.630948, -117.088104 32.627514, -117.086753 32.624057, -117.085418 32.620611, -117.084073 32.61716, -117.089887 32.61552, -117.091967 32.614971, -117.092562 32.614954, -117.09842 32.612957)))"
012502,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.096148 32.648154, -117.09585 32.647379, -117.094847 32.64478, -117.093504 32.641316, -117.092166 32.637859, -117.097948 32.636228, -117.098623 32.636043, -117.106701 32.633771, -117.121418 32.630235, -117.123994 32.646356, -117.11707 32.647397, -117.105204 32.650552, -117.104071 32.650205, -117.102812 32.646589, -117.101026 32.647003, -117.096186 32.648254, -117.096148 32.648154)))"
012501,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.090811 32.63441, -117.089456 32.630948, -117.095251 32.629345, -117.096575 32.632781, -117.097948 32.636228, -117.092166 32.637859, -117.090811 32.63441)))"
012402,Low Income Population HPSA,"Health Resources & Services Administration, 2021.",2021,2023,Census Tract,Mental Health Health Professional Shortage Areas,HPSA designations are based on 2010 Census Tracts.,,,HPSA Score,17,"MULTIPOLYGON (((-117.092166 32.637859, -117.093504 32.641316, -117.094847 32.64478, -117.090729 32.645922, -117.086646 32.647068, -117.082573 32.648206, -117.081241 32.644741, -117.083279 32.644161, -117.08196 32.640701, -117.083982 32.640144, -117.088058 32.639014, -117.092166 32.637859)))"
