county,hospital_name,transit_options,num_transit_options
Fresno,Saint Agnes Medical Center,"['Saint Agnes Hospital Bus Stop', '1177 E Warner', 'NW Herndon - Millbrook', 'SE Herndon - Millbrook', 'NE Millbrook-Herndon', 'SW Millbrook - Spruce', 'SE Warner - First', 'NE Millbrook - Spruce', 'SE Herndon - First', '6592 N First', 'NW First - Warner', 'NW Herndon - First', 'NE First - Sierra', 'SE Millbrook - Minarets', 'SW First - Ellery', 'SW Millbrook - Pinedale', 'NW Herndon - Cedar']",17
Fresno,Community Regional Medical Center,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'Community Regional Medical Center (Community Hospital)', 'NW Fresno - R St', 'Community Regional Center Southbound', 'SE Fresno - R St', 'Community Regional Center Northbound', 'SE Fresno - P St', 'NE Fresno - Divisadero', 'NW Fresno - P St', 'SW Fresno - Illinois', 'Divisadero Station', 'NW Tulare - S St', 'SW Tulare - S St', 'NW Tulare - Q St', 'NW Fresno - O St', 'SE Tulare - P St', 'Fresno St Station']",20
Fresno,Fresno Community Hospital,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'Community Regional Medical Center (Community Hospital)', 'NW Fresno - R St', 'SE Fresno - R St', 'Community Regional Center Northbound', 'Community Regional Center Southbound', 'SE Fresno - P St', 'NE Fresno - Divisadero', 'NW Fresno - P St', 'SW Fresno - Illinois', 'NW Tulare - S St', 'SW Tulare - S St', 'NW Tulare - Q St', 'Divisadero Station', 'NW Fresno - O St', 'SE Tulare - P St', 'Fresno St Station']",20
Fresno,Fresno Heart & Surgical Hospital,"['Woodward Station', 'Nees - Blackstone']",2
Fresno,Kaiser Permanente Fresno Medical Center,"['Fresno - Herndon', 'NE Fresno - Howard', 'SW Fresno - Howard', 'North Fresno (Howard & Fresno)', 'Alluvial - Kaiser Park', '382 East Alluvial', 'SE Alluvial - Fresno', 'SW Fresno - Alluvial', 'NE Fresno - Alluvial', 'NE Alluvial - Fresno', 'Fresno - Herndon', 'Alluvial - Highway 41', 'SE Herndon - Fresno', 'SE Alluvial - First', 'NW Alluvial - First', 'NW Alluvial - River Park', 'SW El Paso - Fresno', 'SE Alluvial - Abby', 'Fresno - Herndon', 'NW El Paso - Fresno']",20
Fresno,Adventist Health Reedley,"['Cypress Ave and Acacia Ave', 'Reedley College', 'Reedley College', 'McDonald’s']",4
Fresno,VA Central California Health Care System,"['Fresno - Clinton', 'SW Clinton - Thesta', 'NE Clinton - Fresno', ""Fresno Veteran's Hospital"", 'Fresno - Clinton', 'SE Clinton - Fresno', 'NW Clinton - Angus', 'SW Fresno - Clinton', 'SW Clinton - Angus', 'NE Fresno - Princeton', 'NW Fresno - Princeton', 'NW Fresno - Berkeley', 'SE Fresno - Berkley', 'NW Clinton - Orchard', 'NW Clinton -Thesta', 'SW Clinton - Thesta', 'SE Clinton - Orchard', 'NE Fresno - Cornell', 'NW Clinton - First', 'SW Fresno - Weldon']",20
Fresno,Clovis Community Medical Center,"['N Temperance Ave & Fir Ave', 'N Temperance Ave & Herndon Ave', 'N Temperance Ave & Alluvial Ave Southbound', 'Temperance Ave-Coventry Cove Apartments']",4
Fresno,Fresno Surgical Hospital,"['SW Fresno - Escalon', 'NE Fresno - Bullard', 'NE Fresno - Escalon', 'SW Fresno - Bullard', 'SW Fresno - Sierra', 'NE Fresno - Sierra', 'SW Fresno - Browning', 'SE Fresno - Browning', 'Bullard Station', 'SW First - Escalon', 'First - Bullard', 'First - Bullard', 'First - Bullard', 'SE First - Escalon', 'Bullard', 'NE Fresno - Barstow', 'Sierra Station', 'SW First - Ellery', 'Sierra Station', 'SW First - Roberts']",20
Fresno,Community Regional Medical Center Emergency Department,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'Community Regional Medical Center (Community Hospital)', 'NW Fresno - R St', 'Community Regional Center Southbound', 'Community Regional Center Northbound', 'SE Fresno - R St', 'SW Fresno - Illinois', 'NE Fresno - Divisadero', 'Divisadero Station', 'SE Fresno - P St', 'NW Fresno - P St', 'Divisadero Station', 'SW FRESNO - McKENZIE', 'NE ABBY - McKENZIE', 'NE FRESNO - McKENZIE', 'NW Fresno - O St', 'NW Tulare - S St']",20
Fresno,Community Behavioral Health Center,"['SE Cedar - Eleventh', 'NE Cedar - Spruce', 'NW Cedar - Spruce', 'SW Cedar - Eleventh', 'NW Herndon - Cedar', 'Cedar - Herndon', 'SW Cedar - Alluvial', 'SE Herndon - Cedar', 'SW Cedar - Herndon', 'NE Cedar - Alluvial', 'NE Millbrook-Herndon', 'SE Herndon - Millbrook', 'SE Cedar - Cromwell', 'NW Herndon - Millbrook', 'SW Millbrook - Spruce', 'NE Cedar - Palo Alto Ave', 'SE Cedar - Cromwell', 'SW Cedar - Cromwell', 'NE Millbrook - Spruce', 'SE Millbrook - Minarets']",20
Fresno,San Joaquin Valley Rehabilitation Hospital,"['NE Millbrook-Herndon', 'SE Herndon - Millbrook', 'NW Cedar - Spruce', 'NE Cedar - Spruce', 'SE Cedar - Eleventh', 'NW Herndon - Millbrook', 'SW Millbrook - Spruce', 'SW Cedar - Eleventh', 'NE Millbrook - Spruce', 'Saint Agnes Hospital Bus Stop', 'SE Millbrook - Minarets', 'NW Herndon - Cedar', 'SW Cedar - Alluvial', 'Cedar - Herndon', 'SW Millbrook - Pinedale', 'NE Cedar - Alluvial', 'SW Cedar - Herndon', 'SE Herndon - Cedar', '1177 E Warner', 'SE Cedar - Cromwell']",20
Fresno,Valley Children's Hospital,"[""Children's Hospital"", 'Maulpin - Peck', 'NW GOODWIN - CROCKET at VCH']",3
Fresno,Saint Agnes Medical Center Emergency Room,"['Saint Agnes Hospital Bus Stop', '1177 E Warner', 'NW Herndon - Millbrook', 'SE Herndon - Millbrook', 'NE Millbrook-Herndon', 'SW Millbrook - Spruce', 'SE Warner - First', 'NE Millbrook - Spruce', 'SE Herndon - First', '6592 N First', 'NW First - Warner', 'NW Herndon - First', 'NE First - Sierra', 'SE Millbrook - Minarets', 'SW First - Ellery', 'SW Millbrook - Pinedale', 'NW Herndon - Cedar']",17
Fresno,United Health Centers - Fresno Milburn Ave.,"['SE Herndon - Milburn', 'NW Herndon - Milburn', 'NW Herndon - Blythe', 'SE Herndon - Blythe']",4
Fresno,Adventist Health Selma,[],0
Fresno,Community Medical Plaza,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'Community Regional Medical Center (Community Hospital)', 'Community Regional Center Northbound', 'SE Fresno - R St', 'NE Fresno - Divisadero', 'NW Fresno - R St', 'Community Regional Center Southbound', 'SW Fresno - Illinois', 'SE Fresno - P St', 'NW Tulare - S St', 'NW Fresno - P St', 'SW FRESNO - McKENZIE', 'SW Tulare - S St', 'NE FRESNO - McKENZIE', 'Divisadero Station', 'NW Tulare - U St', 'SE Tulare - U St']",20
Fresno,North Medical Plaza,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'SE Belmont - Fresno', 'SW Fresno - Illinois', 'NE Fresno - Divisadero', 'SW FRESNO - McKENZIE', 'NE FRESNO - McKENZIE', 'Community Regional Medical Center (Community Hospital)', 'Community Regional Center Northbound', 'SE Fresno - R St', 'NW Fresno - R St', 'Community Regional Center Southbound', 'NW Tulare - U St', 'SE Tulare - U St', 'SE Fresno - Belmont', 'NW Tulare - S St', 'SW Tulare - S St', 'SW Fresno - Belmont']",20
Fresno,Family HealthCare Network,"['Fresno', 'Fresno Amtrak', 'Amtrak/Greyhound', 'NE FRESNO - McKENZIE', 'SE Belmont - Fresno', 'SW FRESNO - McKENZIE', 'NE FRESNO - McKENZIE', 'SW Fresno - Illinois', 'NE Fresno - Divisadero', 'SE Fresno - Belmont', 'SW Fresno - Belmont', 'SE Belmont - Valeria', 'SE Belmont - Fresno', 'Community Regional Medical Center (Community Hospital)', 'NE Belmont - Fresno', 'NE Belmont - Clark', 'Community Regional Center Northbound', 'SE Fresno - R St', 'SE Belmont - Diana', 'NW Fresno - R St']",20
Fresno,Fresno Surgical hospital,"['SW Fresno - Escalon', 'NE Fresno - Escalon', 'NE Fresno - Bullard', 'SW Fresno - Bullard', 'SW Fresno - Sierra', 'NE Fresno - Sierra', 'SW Fresno - Browning', 'SE Fresno - Browning', 'SW First - Escalon', 'First - Bullard', 'SE First - Escalon', 'First - Bullard', 'First - Bullard', 'Bullard Station', 'SW First - Ellery', 'Bullard', 'Sierra Station', 'Sierra Station', 'NE Fresno - Barstow', 'NE Fresno - Palo Alto']",20
Plumas,Plumas District Hospital,"['1065 Bucks Lake Rd (Hosp./Clinic)', '332 Crescent St (FRC Fitness Center)']",2
Inyo,Northern Inyo Hospital,[],0
Inyo,Northern Inyo Hospital - Emergency Department,[],0
Inyo,Southern Inyo Healthcare District,['Lone Pine'],1
Contra Costa,Contra Costa Regional Medical Center,"['Alhambra Ave and Contra Costa Regional Medical Center', 'Berrellesa St and Soto St', 'Alhambra Ave and Bertola St', 'Alhambra Ave + C St', 'Alhambra Ave and Allen Dr', 'Berrellesa St and Robinson St', 'Berrellesa St + Jones St', 'Berrellesa St and Jones St', 'Alhambra Ave and F St', 'Alhambra Ave and Jones St', 'Estudillo St and Victory Ct', 'Alhambra Ave and G St', 'Alhambra Ave + G St', 'Berrellesa St and Mellus St', 'Alhambra Ave and Mellus St']",15
Contra Costa,Martinez Health Center,"['Alhambra Ave and Contra Costa Regional Medical Center', 'Berrellesa St and Soto St', 'Alhambra Ave and Bertola St', 'Alhambra Ave + C St', 'Alhambra Ave and Allen Dr', 'Berrellesa St and Robinson St', 'Berrellesa St + Jones St', 'Berrellesa St and Jones St', 'Alhambra Ave and F St', 'Alhambra Ave and Jones St', 'Estudillo St and Victory Ct', 'Alhambra Ave and G St', 'Alhambra Ave + G St', 'Berrellesa St and Mellus St', 'Alhambra Ave and Mellus St']",15
Contra Costa,"John Muir Health, Concord Medical Center","['East St and Bacon St', 'Grant St and High School Ave', 'Grant St and High School Ave', 'Grant St and Gill Dr', 'Grant St and Bonifacio St', 'Grant St and Karren St', 'Colfax St and Pacheco St', 'Salvio St and Date St', 'Grant St and Pacheco St', 'Salvio St and Colfax St', 'Grant St and Mildred St', 'East St and Willow Pass Rd', 'Salvio St and Grant St', 'Grant St and Fairfield Ave', 'Port Chicago Hwy and Concord Blvd', 'Parkside Dr and Concord Civic Center', 'Parkside Dr and Willow Pass Rd', 'Salvio St and Galindo St', 'Concord Blvd/Grant St', 'East St and Sunset Ave']",20
Contra Costa,"John Muir Health, Walnut Creek Medical Center","['John Muir Medical Ctr Walnut Creek', 'John Muir Medical Center Walnut Creek @ Bldg #133', 'John Muir Medical Center Walnut Creek', 'Montego and Satellite Senior Homes', 'Ygnacio Valley Rd and Kinross Dr', 'Montego and Tampico', 'Montego and Tampico', 'Montego + Tampico @ San Marco Plaza', 'Ygnacio Valley Rd and Marchbanks Dr', 'Marchbanks Dr And Player Ct', 'Ygnacio Valley Rd and Mendocino Farms', 'Montego and San Marco Apartments', 'Ygnacio Valley Rd and Bancroft Rd', 'Montego and Ygnacio Valley Rd']",14
Contra Costa,San Ramon Regional Medical Center,"['Bishop Ranch 15', 'Norris Canyon Rd and Iron Horse Trail', 'Camino Ramon and Norris Canyon Rd', 'Alcosta Blvd and Woodland Dr', 'Norris Canyon Rd and Camino Ramon', 'Camino Ramon and Norris Canyon Rd', 'Camino Ramon and Bishop Ranch 7', 'San Ramon Transit Center', 'San Ramon Transit Center', 'San Ramon Transit Center', 'San Ramon Transit Center', 'San Ramon Transit Center', 'Tahiti Dr and Bahama Ct And Barbados Dr', 'Crow Canyon Rd and Alcosta Blvd', 'Camino Ramon and Crow Canyon Rd', 'Executive Pkwy and Camino Ramon And Bishop Dr', 'Camino Ramon and Crow Canyon Rd', 'Alcosta Blvd and Overlook Dr', 'Camino Ramon/Crow Canyon Rd', 'Executive Pkwy and Bishop Dr And Camino Ramon']",20
Contra Costa,Kaiser Permanente Walnut Creek Medical Center,"['S California Blvd/Botelho Dr', 'Newell Ave + Kaiser Medical Center', 'S Main St and Newell Ave', 'Newell Ave and Kaiser Medical Center', 'Newell Ave and S Main St', 'S Main St and Kaiser Medical Center', 'S California Blvd and Newell Ave', 'Broadway Plz And S Main St', 'S Main St and Lilac Dr', 'Lilac Dr and Lancaster Rd', 'Bothelho Dr and Locust St', 'S California Blvd and Botelho Dr', 'S California Blvd and Botelho Dr', 'S Broadway and Newell Ave', 'S Broadway and Newell Ave', 'Newell Ave and S Broadway', 'Locust St and Olympic Blvd', 'Lilac Dr and Newell Ave', 'S Broadway and Mt Diablo Blvd', 'Locust St and Mt Diablo Blvd']",20
Contra Costa,Kaiser Permanente Richmond Medical Center,"['Richmond', 'Richmond', 'Harbour Way at Barrett Ave', 'MacDonald Av:7th St', '6th St:Nevin Av', 'Harbour Way & Bissell Av', 'MacDonald Av:Marina Way', 'Harbour Way:Pennsylvania Av', '7th St:Pennsylvania Av', 'Barrett Av + Harbour Way', 'MacDonald Av & 7th St', 'Harbour Way at Barrett Ave.', '6th St & Nevin Av', '6th St & Barrett Av', 'MacDonald Av & 7th St', 'MacDonald Av & 11th St', '6th St & Barrett Av', '6th St & Nevin Av', 'Harbour Way & MacDonald Av', 'Harbour Way & Roosevelt Av']",20
Contra Costa,Sutter Delta Medical Center,"['Davison Dr & Garrow Dr', 'Lone Tree Wy & Clearbrook Rd', 'Lone Tree Wy & Sutter Delta', 'Lone Tree Wy & Clayburn Rd', 'Davison Dr & Sunset Ln', 'Davison Dr & Mountaire Dr', 'Lone Tree Wy & Davison Dr', 'Lone Tree Wy & Davison Dr', 'Davison Dr & Garrow Dr', 'Davison Dr & Garrow Dr', 'Lone Tree Wy & Bluerock Dr', 'Lone Tree Wy & Clearbrook Rd', 'James Donlon Blvd & Sth Royal Links Cir', 'Lone Tree Wy & Clearbrook Rd', 'James Donlon Blvd & Sth Royal Links Cir', 'Lone Tree Wy & Golf Course Rd', 'James Donlon Blvd & Sth Royal Links Cir', 'Davison Dr & Ashburton Dr', 'Davison Dr & Burwood Wy', 'Lone Tree Wy & Terranova Dr']",20
Contra Costa,Kaiser Permanente Antioch Medical Center,"['Sand Creek Rd & Deer Valley Rd', 'Deer Valley Rd & Kaiser', 'Deer Valley Rd & Prewett Ranch Dr', 'Prewett Ranch Dr & Forty Niner Wy', 'Prewett Ranch Dr & Forty Niner Wy', 'Prewett Ranch Dr & Forty Niner Wy']",6
Contra Costa,Sutter Solano Medical Center,"['Vallejo', 'Hospital Drive & Tuolumne', 'Tuolumne & Del Mar', 'Hospital Drive & Tuolumne', 'Tuolumne St & Hospital Dr', 'Sutter Hospital SB', 'Tuolumne St & Hospital Dr', 'Tuolumne St & Sereno Dr', 'Tuolumne St & Sereno Dr', 'Sereno Dr & San Marino Ave', 'Tuolumne St & Parkview Ter', 'Tuolumne St & Del Mar Ave', 'Sereno Dr & Mesa Verde St', 'Tuolumne St & Del Mar Ave', 'Tuolumne St & Parkview Ter', 'Fairgrounds Dr. & Sereno', 'Tuolumne St & Mitchell Ct', 'Fairgrounds Dr & Sereno Dr', 'Fairgrounds Dr & Sereno Dr', 'Six Flags Discovery Kingdom']",20
Contra Costa,Pittsburg Health Center,"['East Leland Rd & Loveridge Rd', 'Loveridge Rd & Stoneman Ave', 'Loveridge Rd & Hwy 4', 'East Leland Rd & Loveridge Rd', 'East Leland Rd & Loveridge Rd', 'Loveridge Rd & Loveridge Cir', 'Loveridge Rd & Delta Deanza Trail', 'Loveridge Rd & Deanza Trail', 'East Leland Rd & Loveridge Rd', 'Loveridge Rd & East Leland Rd', 'East Leland Rd & Gladstone Dr', 'East Leland Rd & Dias Cir', 'Loveridge Rd & Stoneman Ave', 'East Leland Rd & Commerce Pl', 'Loveridge Rd & Stoneman Ave', 'Loveridge Rd & Hwy 4', 'Loveridge Rd & Hwy 4', 'East Leland Rd & Piedmont Wy', 'East Leland Rd & Lakeview Cir', 'East Leland Rd & Lakeview Cir']",20
Contra Costa,Brentwood Health Center,"['Brentwood Blvd & Applewood Com', 'Brentwood Blvd & Sand Creek Rd', 'Brentwood Blvd & Sand Creek Rd', 'Brentwood Blvd & Applewood Com', 'Brentwood Blvd & Applewood Com', 'Brentwood Blvd & Village Dr', 'Brentwood Blvd & Grant St', 'Brentwood Blvd & Village Dr', 'Adams Ln (Blue Goose Park)', 'Brentwood Blvd & Village Dr', 'Brentwood Blvd & Sunset Rd']",11
Contra Costa,Contra Costa County - Martinez Health Center: Emergency Room,"['Berrellesa St and Soto St', 'Alhambra Ave and Bertola St', 'Alhambra Ave and Contra Costa Regional Medical Center', 'Alhambra Ave and Allen Dr', 'Alhambra Ave + C St', 'Berrellesa St and Robinson St', 'Berrellesa St + Jones St', 'Berrellesa St and Jones St', 'Alhambra Ave and Jones St', 'Alhambra Ave and F St', 'Estudillo St and Victory Ct', 'Alhambra Ave and G St', 'Alhambra Ave + G St', 'Berrellesa St and Mellus St', 'Alhambra Ave and Mellus St', 'Pine St and Susana St', 'Pacheco Blvd/Arreba St', 'Pacheco Blvd and Arreba St']",18
Contra Costa,West County Health Center,"['San Pablo Av:Vale Rd', 'Vale Rd:Doctors Hospital', 'Church Ln:San Pablo Av', 'Church Ln:Willow Rd', '29th St:Tulare Av', 'San Pablo Av:San Pablo Dam Rd', 'Church Ln:St Joseph Cemetery', '29th St:Rheem Av', 'West Contra Costa Health Center', 'Vale Rd & San Pablo Av', 'San Pablo Av & Vale Rd', 'San Pablo Av', 'Vale Rd & Medical Offices', 'San Pablo Av & Vale Rd', 'Vale Rd & Medical Offices', 'Church Ln & San Pablo Adult Senior Center', 'San Pablo Av & Church Ln', 'Church Ln & Dover Av', 'Church Ln & San Pablo Av', 'Church Ln & Villa Dr']",20
Contra Costa,Kentfield Hospital,"['College of Marin - Sir Francis Drake Blvd & Elm Av', 'College of Marin College Av & Sir Francis Drake', 'Sir Francis Drake Blvd Opposite 1111 Sir Francis', '1111 Sir Francis Drake Blvd', 'College of Marin - Sir Francis Drake Blvd & Elm Av', 'College Of Marin Sir Francis Drake Blvd & Maple', 'Sir Francis Drake Blvd & Lagunitas Rd', 'College of Marin-College Ave & Sir Francis Drake', 'College of Marin College Av & Sir Francis Drake', 'Sir Francis Drake Blvd & Ash Av', 'Sir Francis Drake Blvd & Ash Ave', 'College Ave & Kent Ave', 'College Av & Kent Av', 'College Ave & Kent Ave', 'Sir Francis Drake Blvd & Oak Av', 'Sir Francis Drake Blvd & Rosebank Dr']",16
Contra Costa,Contra Costa Health Services,"['Alhambra Ave and Contra Costa Regional Medical Center', 'Berrellesa St and Soto St', 'Alhambra Ave and Bertola St', 'Alhambra Ave + C St', 'Alhambra Ave and Allen Dr', 'Berrellesa St and Robinson St', 'Berrellesa St + Jones St', 'Berrellesa St and Jones St', 'Alhambra Ave and F St', 'Alhambra Ave and Jones St', 'Estudillo St and Victory Ct', 'Alhambra Ave and G St', 'Alhambra Ave + G St', 'Berrellesa St and Mellus St', 'Alhambra Ave and Mellus St']",15
Contra Costa,Stanford Health Care - Tri-Valley Medical Center,"['Railroad Ave & P St', 'Murrieta Blvd & Stanley Blvd', 'Fourth St & P St', 'Stanley Blvd & Valley Memorial Hospital EB', 'Stanley & Valley Mem Eb - Westbound', 'Railroad Ave & P St', 'Railroad Ave & P St EB', 'South P Street & First Street', 'Holmes St & Murietta Blvd', 'South P St & Railroad Ave', 'Holmes St & Mocho St', 'Stanley Blvd & Murrieta Blvd EB', 'Stanley Blvd & Murrieta Blvd', 'Olivina Ave & Adelle St EB', 'Olivina Ave & P St', 'Fourth St & P St', 'Fourth St & P St', 'Olivina Ave & Rincon Ave', 'Railroad Ave & N St', 'Holmes St & Mocho St']",20
Contra Costa,Kaiser Hospital,"['Sand Creek Rd & Deer Valley Rd', 'Deer Valley Rd & Kaiser', 'Deer Valley Rd & Prewett Ranch Dr', 'Prewett Ranch Dr & Forty Niner Wy', 'Prewett Ranch Dr & Forty Niner Wy', 'Prewett Ranch Dr & Forty Niner Wy']",6
Contra Costa,MarinHealth Medical Center,"['Sir Francis Drake Blvd & Bon Air Rd', 'Via Casitas & El Portal Dr', 'Magnolia Av & Bon Air Rd', 'Marin Health Medical Center-250 Bon Air Rd', 'Bon Air Rd & MHMC Emergency Entrance Rd', 'Bon Air Rd & Schultz Memorial Dr', '1220 S Eliseo Dr', 'S Eliseo Dr At Hamilton Park', 'Sir Francis Drake Blvd & Bon Air Rd', 'Sir Francis Drake Blvd & Bon Air Rd', '5 Bon Air Rd', 'Bon Air Rd & Magnolia Ave', '630 S Eliseo Dr', 'Via Casitas & El Portal Dr', 'Magnolia Ave & Bon Air Rd', 'Via Casitas & El Portal Dr', 'Magnolia Ave & Bon Air Rd', 'Sir Francis Drake Blvd & Wolfe Grade', 'Magnolia Ave & Dartmouth Dr', 'Sir Francis Drake Blvd & El Portal Dr']",20
Contra Costa,Highland Hospital,"['14th Av:Vallecito Pl', '14th Av:E 26th St', '23rd Av:E 30th St', 'Ardley Av:E 32nd St', '23rd Av:E 29th St', 'MacArthur Blvd:Randolph Av', 'Park Blvd:MacArthur Blvd (Oakland High School)', 'E 31st St & Stuart St (Highland Hospital)', 'E 31st St & Stuart St (Opp. Highland Hospital)', 'E 31st St & Beaumont Av (14th Av Jctn)', 'Beaumont Av & E 31st St', '14th Av & E 29th St', '14th Av & E 31st St', '14th Av & 19th Av', 'E 31st St & Vallecito Pl', 'MacArthur Blvd & Beaumont Av', 'Beaumont Av & MacArthur Blvd', '14th Av & Vallecito Pl', '14th Av & Vallecito Pl', '13th Av & E 31st St']",20
Alpine,Alpine County Health Department,[],0
Alpine,Barton Memorial Hospital,"['South Ave/3rd St (Barton Hospital)', 'South Lake Tahoe', '3rd St (Tahoe Senior Plaza)', 'US 50/3rd St', 'US 50/3rd St (Orchids)', 'D St/Tata Ln', ""US 50/Tahoe Keys Blvd (Winter's Electric)"", ""US 50/Tahoe Keys Blvd (O'Reilly Auto Parts)""]",8
Alpine,Carson Valley Health Hospital,[],0
Alpine,Barton Health Alpine Bldg,"['South Ave/3rd St (Barton Hospital)', 'South Lake Tahoe', '3rd St (Tahoe Senior Plaza)', 'US 50/3rd St', 'US 50/3rd St (Orchids)', ""US 50/Tahoe Keys Blvd (Winter's Electric)"", 'D St/Tata Ln', ""US 50/Tahoe Keys Blvd (O'Reilly Auto Parts)"", 'US 50/Truckee Dr (Grocery Outlet)']",9
Alpine,Tahoe Forest Hospital,"['Donner Pass Rd at Tahoe Forest Medical Offices', 'Donner Pass Rd at Tahoe Forest Cancer Center', 'Truckee – Pine Ave', 'Truckee – Pine Ave', 'Donner Pass Rd at Gateway Center (Safeway Bus Shelter)', 'Truckee – Safeway', 'Donner Pass Rd at Grocery Outlet/Vista Ave', 'Truckee – Safeway', 'Hwy 89 at Bank of America (old CHP office)', 'Highway 89 South Between DMV and Freeway', 'Donner Pass Rd at ACE Mountain Hardware', 'Donner Pass Rd at Donner Plaza', 'Hwy 89 at College Trail', 'Hwy 89 at Deerfield Dr (Crossroad Driveway)', 'Truckee – Meadow Way', 'Truckee – Meadow Way', 'Deerfield Dr at Crossroads Center (Post Office)', 'Hwy 89 West River Mousehole']",18
Alpine,Alpine County Health Clinic,[],0
